Car Class, Grade(1-4)
ARC Camaro, 4
Caterham, 4
Copa Classic B, 4
Copa Classic FL, 4
F3, 2
Formula Inter, 3
Formula Reiza, 1
Formula Trainer, 4
Formula Ultimate, 1
Formula USA 2023, 1
Formula USA Gen. 1, 1
Formula USA Gen. 2, 1
Formula USA Gen. 3, 1
Formula V10, 1
G40 Cup, 4
G55 Cup, 3
German Group A, 3
GT3 Gen. 1, 2
GT3 Gen. 2, 2
GT4, 3
GT5, 4
GTE, 2
Hot Cars, 4
Lancer Cup, 3
LMDH, 1
LMP2, 1
MINI Cup, 4
P1, 2
P2, 3
P3, 3
P4, 3
Porsche Cup, 3
Sprint Race, 3
Stock Car Brazil, 3
Super V8, 3
TSI Cup, 4
GT3 + GT4, 2
LMDH + GT3, 1
LMDH + LMP2 + GT3, 1
LMP2 + GT3 + GT4, 1
GT4 + GT5, 3
Brazillian Endurance, 2
P3 + GT4, 3
P3 + GT4 + GT5, 3
Porsche Cup + GT4, 3
