Track Layout,Grade (1-4)
Adelaide,1
Azure Circuit,1
Barcelona GP,1
Barcelona GP (no chicane),1
Barcelona National,3
Bathurst,2
Brands Hatch,2
Brands Hatch Indy,3
Brasília Full,3
Brasília Outer,3
Buenos Aires No. 6 S,2
Buenos Aires No. 6,2
Buenos Aires No. 7,4
Buenos Aires No. 8,3
Buenos Aires No. 9,3
Buenos Aires No.12,4
Buenos Aires No. 15,2
Cadwell Park,4
Campo Grande,3
Cascais,1
Cascais Alternate,1
Cascavel,3
Curitiba,2
Curitiba Outer,3
Curvelo Long,4
Curvelo Short,4
Cordoba No. 4,3
Córdoba TC,3
Córdoba No. 2,4
Daytona Sports Car Course,1
Daytona NASCAR Road Course,2
Donington Park GP,1
Donington Park National,3
Fontana Sports Car Course,2
Gateway Road Course Long,4
Gateway Road Course Short,4
Goiânia,2
Goiânia Short,3
Goiânia External,2
Guaporé,3
Hockenheimring GP,1
Hockenheimring National,3
Hockenheimring Short A,4
Hockenheimring Short B,4
Ibarra,3
Ibarra Reverse,3
Imola,1
Indianapolis Motor Speedway Road Course,1
Interlagos GP,1
Interlagos Stock Car Brasil,2
Jacarepaguá 2012 Stock Car Brasil,2
Jerez Moto,2
Jerez Chicane,1
Kansai GP,1
Kansai West,3
Kansai East,4
Kyalami,1
Laguna Seca,1
Le Mans,1
Le Mans Bugatti Circuit,2
Londrina Short,3
Londrina Long,3
Long Beach,1
Montreal,1
Monza GP,1
Monza Junior,4
Mosport,2
Nürburgring Nordschleife 2020,2
Nürburgring 24 Hour 2020,2
Nürburgring GP 2020,1
Nürburgring Veedol 2020 (GT Chicane),2
Nürburgring Sprint 2020,3
Nürburgring Sprint S 2020,3
Oulton Park International,2
Oulton Park Island,3
Oulton Park Fosters,4
Road America,1
Road Atlanta,1
Salvador,3
Santa Cruz,2
Sebring,1
Sebring School,3
Sebring Club,4
Silverstone GP,1
Silverstone International,3
Silverstone National,4
Snetterton 300,2
Snetterton 200,3
Snetterton 100,4
Spa-Francorchamps 2022,1
Spielberg GP,1
Spielberg Short,3
Taruma Internacional,3
Taruma Chicane,4
Termas de Río Hondo,2
Velo Città,2
Velo Città Track Day,3
Velo Città Club Day,4
Velopark 2017,2
Virginia,2
Virginia Grand,2
Virginia North,3
Virginia South,4
Virginia Patriot,4
Watkins Glen GP,2
Watkins Glen GP (Inner Loop),1
Watkins Glen Short,4
Watkins Glen Short (Inner Loop),3
